cajas,ref,frei,pos,pol,W_sim,W_profe,Var_W,IC_low,IC_high,W_analitico_ref,clientes_completados,viol_rho,score_align_40,score_wait_50,score_comp_10,score_total_100,criterio_optimo
5,2,3,1,1,159.0062,1.3988,10212.803,158.551,159.4613,0.0,343.85,5,40.0,28.64,10.0,78.64,
1,1,5,3,2,213.9245,2.7147,14087.1904,213.2667,214.5822,3.0,177.7,4,40.0,3.5,10.0,53.5,
1,1,2,5,3,216.1073,2.6041,13861.4708,215.5141,216.7005,1.3636,185.16,4,40.0,2.51,10.0,52.51,
1,2,1,5,3,219.7255,3.4696,14884.8922,219.1569,220.294,1.3636,138.94,4,40.0,0.85,10.0,50.85,
1,3,1,2,5,218.7295,3.4513,14914.7005,218.1313,219.3277,2.0769,139.69,4,40.0,1.31,10.0,51.31,
1,2,3,5,1,213.7948,3.0355,14459.6191,213.1212,214.4684,1.3636,159.06,4,40.0,3.56,10.0,53.56,
2,3,1,1,5,198.9608,2.415,12775.4609,198.4582,199.4634,2.0769,199.47,4,40.0,10.35,10.0,60.35,
3,1,2,1,5,193.3366,1.7447,12037.6998,192.9049,193.7683,0.0,275.68,5,40.0,12.93,10.0,62.93,
3,5,2,1,1,179.6518,1.8537,11628.8736,179.1638,180.1397,1.1345,259.73,4,40.0,19.19,10.0,69.19,
1,5,2,3,1,215.5615,3.0691,14341.6594,214.9052,216.2177,4.1345,157.37,3,40.0,2.76,10.0,52.76,
1,1,5,2,3,213.9603,2.5906,13961.0675,213.3367,214.5839,0.0,186.27,5,40.0,3.49,10.0,53.49,
2,1,5,1,3,192.6769,1.5537,11226.7597,192.2052,193.1486,0.0,309.56,5,40.0,13.23,10.0,63.23,
5,3,1,2,1,126.8428,1.6074,9671.2792,126.3496,127.336,2.0769,299.46,5,40.0,43.37,10.0,93.37,
1,5,1,3,2,220.4459,3.5502,14945.1269,219.8613,221.0305,4.1345,135.78,3,40.0,0.52,10.0,50.52,
1,2,5,3,1,212.9363,3.0311,14467.994,212.2625,213.61,3.0,159.31,4,40.0,3.96,10.0,53.96,
1,3,2,5,1,215.8675,3.0791,14345.6659,215.2128,216.5222,3.4406,156.71,3,40.0,2.62,10.0,52.62,
1,2,1,3,5,218.7442,3.4552,14934.4814,218.1571,219.3312,3.0,139.52,4,40.0,1.3,10.0,51.3,
1,1,2,3,5,214.6843,2.5912,13896.4548,214.0658,215.3028,3.0,186.22,4,40.0,3.16,10.0,53.16,
2,3,5,1,1,185.9494,1.6915,11021.0758,185.4249,186.4738,2.0769,284.6,4,40.0,16.31,10.0,66.31,
1,4,2,1,4,215.5117,2.5954,13826.7191,214.9349,216.0884,1.3671,185.77,4,40.0,2.78,10.0,52.78,
2,4,4,1,1,186.5139,1.6976,11040.4746,186.0019,187.0259,1.3671,283.64,4,40.0,16.05,10.0,66.05,
4,1,1,4,2,189.0938,2.4427,13350.5666,188.588,189.5996,1.7143,197.18,4,40.0,14.87,10.0,64.87,
4,1,4,1,2,181.8421,1.5378,11247.0765,181.3671,182.3171,0.0,312.83,5,40.0,18.19,10.0,68.19,
4,2,1,1,4,165.1793,1.8413,11110.1088,164.7246,165.6341,0.0,261.41,5,40.0,25.82,10.0,75.82,
4,1,4,2,1,177.1884,1.5957,10873.1911,176.7016,177.6751,0.0,301.6,5,40.0,20.32,10.0,70.32,
1,2,4,4,1,213.4091,3.035,14501.2418,212.7387,214.0794,1.7143,159.11,4,40.0,3.74,10.0,53.74,
2,1,1,4,4,202.7873,2.501,13033.795,202.3012,203.2734,1.7143,192.55,4,40.0,8.6,10.0,58.6,
2,4,1,4,1,198.8767,2.8048,13249.0041,198.2985,199.4549,3.0814,171.92,3,40.0,10.39,10.0,60.39,
4,2,4,1,1,158.2616,1.2756,9031.8277,157.8473,158.6759,0.0,376.98,5,40.0,28.98,10.0,78.98,
4,1,1,2,4,188.9067,2.2863,12874.8966,188.4334,189.3801,0.0,210.59,5,40.0,14.96,10.0,64.96,
2,1,4,1,4,191.8627,1.4681,10849.7092,191.423,192.3025,0.0,327.58,5,40.0,13.6,10.0,63.6,
1,1,4,4,2,214.6816,2.7128,14182.6535,214.0434,215.3197,1.7143,177.85,4,40.0,3.16,10.0,53.16,
2,4,1,1,4,199.5559,2.4568,12973.0006,199.0812,200.0307,1.3671,196.07,4,40.0,10.08,10.0,60.08,
4,1,2,4,1,186.6634,2.0322,12620.7716,186.1912,187.1355,1.7143,236.83,4,40.0,15.98,10.0,65.98,
1,2,4,1,4,212.9529,2.557,13931.5273,212.3077,213.5981,0.0,188.8,5,40.0,3.95,10.0,53.95,
1,4,4,2,1,213.9169,3.042,14453.9876,213.2387,214.5952,1.3671,158.69,4,40.0,3.51,10.0,53.51,
1,4,2,4,1,215.9917,3.0698,14350.1065,215.3476,216.6359,3.0814,157.3,3,40.0,2.56,10.0,52.56,
4,4,2,1,1,159.1351,1.6143,11001.6529,158.6681,159.6021,1.3671,298.11,4,40.0,28.58,10.0,78.58,
1,4,1,4,2,220.8802,3.5733,14933.8155,220.3017,221.4586,3.0814,134.95,3,40.0,0.32,10.0,50.32,
1,1,2,4,4,215.0059,2.5834,13834.057,214.3895,215.6222,1.7143,186.76,4,40.0,3.01,10.0,53.01,
1,4,1,2,4,218.9504,3.4556,14887.8272,218.3694,219.5314,1.3671,139.52,4,40.0,1.2,10.0,51.2,
4,1,2,1,4,190.1019,1.7299,12199.2669,189.6847,190.5191,0.0,278.04,5,40.0,14.41,10.0,64.41,
4,2,1,4,1,154.4489,1.8761,10169.1066,153.9755,154.9224,1.7143,256.62,4,40.0,30.73,10.0,80.73,
1,1,4,2,4,213.3926,2.5573,13908.7287,212.7448,214.0405,0.0,188.66,5,40.0,3.75,10.0,53.75,
1,4,4,1,2,214.9523,2.7093,14098.2348,214.3045,215.6001,1.3671,178.01,4,40.0,3.03,10.0,53.03,
4,4,1,1,2,156.2706,1.8606,11275.4351,155.7799,156.7613,1.3671,258.77,4,40.0,29.9,10.0,79.9,
4,4,1,2,1,149.589,1.8364,10213.2998,149.0939,150.084,1.3671,262.18,4,40.0,32.95,10.0,82.95,
1,2,1,4,4,219.058,3.4663,14880.2232,218.47,219.6459,1.7143,139.06,4,40.0,1.15,10.0,51.15,
2,1,4,4,1,189.9433,1.7497,11197.7065,189.4546,190.4319,1.7143,275.08,4,40.0,14.48,10.0,64.48,
3,4,3,1,1,175.7137,1.5541,10546.0327,175.256,176.1714,1.3671,309.59,4,40.0,21.0,10.0,71.0,
1,4,3,1,3,214.6508,2.5963,13923.2569,214.032,215.2696,1.3671,185.85,4,40.0,3.17,10.0,53.17,
3,4,1,3,1,173.2184,2.1717,11353.4261,172.6826,173.7541,4.3671,221.94,3,40.0,22.14,10.0,72.14,
3,1,1,3,4,194.6085,2.3686,12803.8309,194.1143,195.1027,3.0,203.38,4,40.0,12.35,10.0,62.35,
3,1,4,1,3,186.2129,1.4715,11032.5653,185.7499,186.6758,0.0,326.92,5,40.0,16.19,10.0,66.19,
3,3,1,4,1,172.6934,2.1825,11354.8239,172.1696,173.2171,3.7912,220.72,3,40.0,22.38,10.0,72.38,
4,3,3,1,1,158.7689,1.3893,10035.5463,158.307,159.2307,2.0769,346.19,4,40.0,28.75,10.0,78.75,
3,1,3,1,4,188.1638,1.4456,10868.172,187.7451,188.5825,0.0,332.59,5,40.0,15.3,10.0,65.3,
3,4,1,1,3,180.0514,2.1137,12029.3408,179.5688,180.5341,1.3671,227.8,4,40.0,19.01,10.0,69.01,
4,3,1,1,3,157.4592,1.81,11190.9317,156.9751,157.9433,2.0769,265.95,4,40.0,29.35,10.0,79.35,
4,1,1,3,3,188.1252,2.3484,13134.446,187.6339,188.6165,3.0,205.06,4,40.0,15.31,10.0,65.31,
1,1,3,4,3,214.1816,2.5787,13930.6236,213.5612,214.8021,1.7143,187.1,4,40.0,3.39,10.0,53.39,
1,1,3,3,4,213.5856,2.5615,13941.3736,212.9348,214.2365,3.0,188.38,4,40.0,3.66,10.0,53.66,
1,3,4,3,1,213.3544,3.0339,14422.7149,212.6899,214.0189,5.0769,159.1,3,40.0,3.77,10.0,53.77,
1,3,3,1,4,213.605,2.5622,13921.0827,212.9696,214.2404,2.0769,188.36,4,40.0,3.65,10.0,53.65,
3,3,1,1,4,179.7307,2.0409,11771.0979,179.2574,180.204,2.0769,235.95,4,40.0,19.16,10.0,69.16,
4,1,3,3,1,180.7828,1.6776,11232.5734,180.3574,181.2081,3.0,286.75,4,40.0,18.68,10.0,68.68,
1,3,1,4,3,219.7357,3.4697,14880.6587,219.1537,220.3176,3.7912,138.95,3,40.0,0.84,10.0,50.84,
1,3,4,1,3,214.1548,2.5937,13907.5888,213.5254,214.7842,2.0769,186.05,4,40.0,3.4,10.0,53.4,
1,3,1,3,4,218.9295,3.4445,14892.1967,218.3616,219.4974,5.0769,139.97,3,40.0,1.21,10.0,51.21,
3,1,3,4,1,186.2139,1.7283,11240.4799,185.769,186.6588,1.7143,278.38,4,40.0,16.19,10.0,66.19,
3,1,4,3,1,181.6434,1.6348,10884.466,181.1584,182.1284,3.0,294.42,4,40.0,18.28,10.0,68.28,
1,1,4,3,3,213.6868,2.5836,13925.9254,213.0518,214.3219,3.0,186.81,4,40.0,3.61,10.0,53.61,
4,1,3,1,3,185.9396,1.4991,11312.6502,185.508,186.3711,0.0,320.81,5,40.0,16.31,10.0,66.31,
1,4,1,3,3,219.8779,3.4794,14934.9096,219.3185,220.4373,4.3671,138.54,3,40.0,0.78,10.0,50.78,
1,4,3,3,1,213.5203,3.042,14456.0471,212.8503,214.1903,4.3671,158.69,3,40.0,3.69,10.0,53.69,
3,1,1,4,3,195.3539,2.4546,13093.6488,194.8727,195.8352,1.7143,196.26,4,40.0,12.01,10.0,62.01,
3,3,4,1,1,168.0922,1.375,9500.2423,167.6437,168.5407,2.0769,349.77,4,40.0,24.48,10.0,74.48,
4,3,1,3,1,146.4372,1.7857,9891.9828,145.9195,146.9549,5.0769,269.61,3,40.0,34.4,10.0,84.4,
